Device ID,Time, Consumption
2,0.451609,0.371613
3,0.2145,0.355016
1,966,0.162191
1,1.01,0.165024
4,0.092577,0.346481
1,1.324,0.185239
5,0.149572,0.350471
1,1.655,0.206549
6,0.553506,0.378746
7,0.332529,0.363278
1,2.365,0.252259
8,0.101344,0.347095
1,2.401,0.254576
1,2.625,0.268998
9,0.349929,0.364496
1,3.32,0.313742
10,0.12058,0.348441
1,3.364,0.316574
