Device ID,Time, Consumption
2,0.526803,0.376877
3,0.391568,0.367411
4,0.220955,0.355467
1,1322,0.18511
1,1.361,0.187621
1,1.377,0.188651
5,0.105873,0.347412
1,2.024,0.230305
6,0.173923,0.352175
7,0.147672,0.350338
1,2.515,0.261916
1,2.809,0.280843
9,0.108943,0.347627
8,0.666503,0.386656
1,3.339,0.314965
10,0.137175,0.349603
1,3.442,0.321596
