Device ID,Time, Consumption
2,0.342842,0.363999
3,0.092608,0.346483
1,826,0.153178
1,0.865,0.155689
4,0.248136,0.35737
1,1.348,0.186784
5,0.103058,0.347215
1,1.609,0.203587
6,0.301047,0.361074
1,1.949,0.225477
7,0.130984,0.34917
1,2.162,0.23919
